Submission ID,Item ID,Anonymized Student ID,Date/Time Response Submitted,Response,Assessment Details,Assessment Scores,Date/Time Final Score Given,Final Score Points Earned,Final Score Points Possible,Feedback Statements Selected,Feedback on Peer Assessments
20ee29eb-7448-4208-8eb4-64bd2839b5dc,20660,444f22b647682151f0070c793ec96440,2020-09-06 03:59:29.647243+00:00,"{""parts"": [{""text"": ""xx""}]}",,,,,,,
bb03e7c9-5b18-4243-934a-1bd08fface80,20654,81905ac3e8d2d671173107e638b1798e,2020-09-06 03:50:57.249404+00:00,"{""parts"": [{""text"": ""I.- No se resuelven, ya que requiere agregar o sumar 6 lápices para saber el total de Diego, ya que el tiene 6 más que los 13 de Andrea, por lo tanto sería 13+6: Cantidad de Diego.\nEn II Y III, se resuelven con la frase numérica planteada.""}]}",,,,,,,
538a6a26-821c-40b4-846c-da4c2d0c34a3,20650,9830fb97afefddd82cb942fde66c5fd8,2020-09-06 03:47:19.953999+00:00,"{""parts"": [{""text"": ""El problema I, no se resuelve con la frase numérica indicada, ya que indica agregar, siendo  la frase numérica correcta: 13 + 6.\n\nEl problema II, se puede resolver con la frase numérica indicada, ya que expresa un todo y la parte 1, entonces la incógnita por ser la parte 2, se calcula con la expresión numérica 13 - 6.\n\nEl problema II, también se puede resolver con la frase numérica indicada, ya que se solicita una comparación por diferencias, se sabe la cantidad mayor y la menor, por lo que la incógnita (en este caso la diferencia entre ambos valores), se puede resolver con la frase numérica: 13 - 6.""}]}",,,,,,,
566310a0-21cb-4aec-9ef4-79555a1342ef,20634,5425ed7bb3f627a19fce12d0c386bdad,2020-09-06 03:30:25.286284+00:00,"{""parts"": [{""text"": ""La primera situación problemática no se resuelve con la frase numérica, ya que la cantidad de lápices que compró Diego es mayor a trece, por lo tanto debería realizarse una adición.\n\nLa segunda situación si se puede resolver con la frase numérica, porque hace alusión a una diferencia de cantidades que sí me permite descubrir la cantidad de unas que comió Xavier.\n\nEl tercer problema también se puede resolver con la frase numérica, ya que piden realizar una diferencia entre 13 y 6.""}]}",,,,,,,
798ba651-1943-4240-a518-943266e13aec,20624,43d1a76a909d643038a062d548fbb3b2,2020-09-06 03:10:57.153848+00:00,"{""parts"": [{""text"": ""yo creo que la alternittva correcta es la la opción A, ya que para dopr resolverslo debemos realizar el mis mismo procedimiento que el ejercicio anterior""}]}",,,,,,,
9551e15b-af95-4246-b03f-77caf0b7a312,20623,d9fa3cf9927ae8e570ad58cfb4973abf,2020-09-06 03:09:42.721335+00:00,"{""parts"": [{""text"": ""El problema I no se resuelve con la frase 13-6,  porque dice que Andrea compró 13 lápices y Diego compró 6 más que Andrea, entonces se resolvería con la frase numérica 13+6.\nEl problema II si se resuelve con la frase numérica 13 - 6, ya que,  señala que Antonia comió 13 uvas y se sabe que comió 6 más que Xavier, por lo tanto si a 13 le quitamos 6 podemos determinar cuantas uvas comió Xavier.\nEl problema III también se resuelve con la frase 13-6 porque debemos obtener la diferencia entre 13 y 6 para determinar cuántas partidas jugó más Diego que Paola.""}]}",,,,,,,
843bc2ae-d720-4def-a501-d5e867ed83ff,20613,384f45df6bd6a04a7530de681e2a87dc,2020-09-06 02:56:13.904088+00:00,"{""parts"": [{""text"": ""I.- no se resuelve con 13 -6, ya que se deben sumar 13 +6, de esta forma se sabra la cantidad de lapices que compro Diego.\n\nII.- En este caso si se puede resolver con 13-6, ya que si restamos ambos,encontraremos las uvas que comiò Xavier, ya que Si le quitamos a Antonia podremos saber la respuesta.\n\nIII.- Tambièn se puede resolver con 13-6, ya que es una diferencia de partidas de naipes realizadas.""}]}",,,,,,,
bf10f158-ead9-4b6b-a420-5c5bba4cf9d6,20605,ef0b6a0da3f1c99f5fa800ab92d9e06a,2020-09-06 02:38:54.105012+00:00,"{""parts"": [{""text"": ""Los tres problemas si se resuelven con la frase numérica 13-6   la diferencia es que están planteados los datos de distintas formas, esto para dar distintos niveles de dificultad, por la forma de plantearlos.""}]}",,,,,,,
d7f88c44-6d45-4a30-9061-787b1d11893c,20603,aa6733c67410d8d0e804b45abe790ec4,2020-09-06 02:32:02.433989+00:00,"{""parts"": [{""text"": ""I.- El primer problema no se puede resolver con la frase numérica 13 - 6, ya que según la información que se entrega, la acción involucrada es agregar, por lo tanto se debe sumar para encontrar el resultado.\nII.- El segundo problema si se puede resolver con la frase numérica 13 - 6, ya que en el problema se están comparando dos cantidades, por lo tanto existe una diferencia entre ambos.\nIII.- El tercer problema si se puede resolver con la frase numérica 13 - 6, ya que se setán comparando dos cantidades, por lo tanto existe una diferencia entre ambos.""}]}",,,,,,,
41116640-30ef-4ad5-a666-a52c72f54336,20592,eae26544a4619c01abe849e21d0c12fd,2020-09-06 02:03:51.116290+00:00,"{""parts"": [{""text"": ""El ítems   I.   NO se resuelve con la frase numérica ya que para conocer el valor final debemos juntar las cantidades.\n\nEl ítems   II.   SI se resuelve con la frase numérica ya que para conocer el valor final debemos quitar 6 a 13.\n\nEl ítems   III.   SI se resuelve con la frase numérica ya que para conocer el cuantos partidos mas juga Diego que Paula debemos quitar 6 a 13.""}]}",,,,,,,
9cb90b0d-4e59-4286-ae0b-e843bc2e8615,20585,99908e3632707fa5e8c3faf23a400835,2020-09-06 01:53:00.740679+00:00,"{""parts"": [{""text"": ""I. No se resuelve ya que está pidiendo una suma.\nII. Si se resuelve ya que esta pidiendo separar las cantidades.\nIII. Si se resuelve ya que debo restar las cantidades.""}]}",,,,,,,
bab303e1-3d70-46d2-9a0e-1048255dab29,20563,89f60ed82aacb4c5756ea5d493791151,2020-09-06 01:17:04.071556+00:00,"{""parts"": [{""text"": ""I. No se resuelve con 13-6 , porque es una situación de comparar aumentando la cantidad se resuelve con 13+6, agregando seis más a la cantidad de Antonia para saber la cantidad de Diego\nII. y III. Si se resuelve con 13-6, porque son situaciones de comparar la diferencia quitando la cantidad, se quita a la cantidad de Antonia, que son 13, la diferencia de seis para saber la cantidad de Xavier. También se quita seis a la cantidad de Diego, que son 13, para saber la cantidad de Paola.""}]}",,,,,,,
8510b53a-9f75-47e5-a06d-04f055a0dde4,20543,4b6e63181583f0e41b9fb1975f257bb5,2020-09-06 00:54:45.837786+00:00,"{""parts"": [{""text"": ""1.- En la primera no coincide con la frase numérica señalada, en tal caso sería 13+6 para saber la cantidad de lápices que compró Diego. \n\n2.- En la segunda tampoco coincide dado que seria 13+6 para saber cuantas comió Javier\n\n3.- En la tercera si coincide, debe restar las partidas Paola  a las partidas de Diego 13-6 para conocer cuantas más jugó Diego""}]}",,,,,,,
b6b4f729-946a-4505-9811-ae0d6b3562ed,20530,98cc7acf55499c462ec08454d1288a4f,2020-09-06 00:26:38.084763+00:00,"{""parts"": [{""text"": ""I.- El primer problema no se puede resolver con 13-6 porque el resultado debe ser mayor al inicial, debe sumar 13+6 para responder a la pregunta.\nII.- El segundo problema si se puede responder  13-6, porque ella comió 6 mas lo que significa que Javier comió menos que ella. Esta la cantidad mayor, la diferencia y falta la cantidad menor.\nIII.- El tercero si se resuelve con esa frase numérica 13-6 porque también esta la cantidad mayor, la cantidad menor y solo falta la diferencia.""}]}",,,,,,,
f54e8597-da62-4b65-8606-b7c584e2b544,20518,3a6b7052d109360608dabc5027741877,2020-09-06 00:08:23.813949+00:00,"{""parts"": [{""text"": ""El problema I , NO se resuelve con la frase numérica 13-6, sino que 13+6=19, ya que según los datos Andrea compro 13 lápices y Diego compro 6 lápices más, y la pregunta es ¿Cuantos lápices compro Diego?\nEl problema II, SI, se resuelve con la frase numérica 13-6=7, porque Antonia se comió 13 uvas y ella sabe que se comió 6 más que Javier, entonces a 13 debemos quitarle 6, para saber ¿Cuántas uvas comió Javier?.\nEl problema III, SI, se resuelve con la frase numérica 13-6, solo que se deben ordenar los datos, colocando la mayor cantidad de partidas primero para después quitarle los 6 de Paola y así obtener la diferencia de partidas entre Diego y Paula""}]}",,,,,,,
